MOUSE_GENE_SYM	HUMAN_GENE_SYM
Plekhg4	PLEKHG4
Zfp800	ZNF800
Nlrp9b	NLRP9
Nlrp14	NLRP14
Nr2c2ap	NR2C2AP
Ifne	IFNE
Ppm1h	PPM1H
Insyn1	INSYN1
Fbxo48	FBXO48
Vwc2	VWC2
Fstl4	FSTL4
Rnf222	RNF222
Olfml2b	OLFML2B
Sp8	SP8
Fndc7	FNDC7
Lypd6	LYPD6
Rinl	RINL
Ccdc158	CCDC158
Tafa4	TAFA4
Lingo4	LINGO4
Dcaf5	DCAF5
Itgb8	ITGB8
Map7d3	MAP7D3
Gpr157	GPR157
Pheta2	PHETA2
Tmem220	TMEM220
Nkx6-2	NKX6-2
Tmub2	TMUB2
Adgra1	ADGRA1
Cyp20a1	CYP20A1
Wscd1	WSCD1
Rtl6	RTL6
D630003M21Rik	KIAA1755
Vgll4	VGLL4
Bloc1s3	BLOC1S3
Gdpd4	GDPD4
Vwa3a	VWA3A
Rtn4rl1	RTN4RL1
Ccdc184	CCDC184
Mb21d2	MB21D2
Vsig8	VSIG8
Lrrc8a	LRRC8A
Triml1	TRIML1
Gask1a	GASK1A
Awat2	AWAT2
Klhl38	KLHL38
Kif26b	KIF26B
Ccdc60	CCDC60
Esyt3	ESYT3
Exoc3l	EXOC3L1
Kctd19	KCTD19
Tnn	TNN
Catsper4	CATSPER4
Spata21	SPATA21
2610301B20Rik	C8orf37
Ubac2	UBAC2
Cdh26	CDH26
Fads6	FADS6
Trp53inp2	TP53INP2
Amigo2	AMIGO2
Lhfpl1	LHFPL1
Hapln3	HAPLN3
Il22ra2	IL22RA2
Fam53a	FAM53A
Gpr153	GPR153
Sapcd2	SAPCD2
Fam83c	FAM83C
Gpr119	GPR119
Banf2	BANF2
Rnf180	RNF180
Tafa2	TAFA2
C1qtnf9	C1QTNF9B
Tmem52	TMEM52
Tex33	TEX33
Rtn4rl2	RTN4RL2
E2f7	E2F7
Tmem108	TMEM108
Creb3l2	CREB3L2
Eno4	ENO4
Dpy19l3	DPY19L3
Zfp438	ZNF438
Lrrc4c	LRRC4C
Zfp473	ZNF473
Tmem229b	TMEM229B
Spin4	SPIN4
Fam168a	FAM168A
Tmem72	TMEM72
Iffo1	IFFO1
Vstm4	VSTM4
Igsf10	IGSF10
Cfap206	CFAP206
Wdr49	WDR49
Layn	LAYN
Srarp	SRARP
Cers3	CERS3
Nlrc3	NLRC3
Slc51b	SLC51B
Hepacam2	HEPACAM2
Vmac	VMAC
Afap1l1	AFAP1L1
Brwd3	BRWD3
Whrn	WHRN
Col14a1	COL14A1
Mustn1	MUSTN1
Rftn1	RFTN1
Foxk2	FOXK2
Fam89b	FAM89B
Eras	ERAS
Gpr151	GPR151
Clec18a	CLEC18B
Pifo	PIFO
Deup1	DEUP1
Lyrm7	LYRM7
1700125H20Rik	C17orf64
Crtc2	CRTC2
Arhgap30	ARHGAP30
Muc6	MUC6
Ffar4	FFAR4
Gpr142	GPR142
Gpr141	GPR141
Dpy19l4	DPY19L4
Rxfp4	RXFP4
Zbtb12	ZBTB12
Champ1	CHAMP1
Zfp428	ZNF428
Tmem270	TMEM270
C1ql2	C1QL2
Faap20	FAAP20
Lhfpl5	LHFPL5
Lypd5	LYPD5
Spata46	SPATA46
Lsmem1	LSMEM1
Samd7	SAMD7
Tmem255b	TMEM255B
Fam131c	FAM131C
Bpifb3	BPIFB3
Rflnb	RFLNB
1700028K03Rik	C1orf146
Tafa3	TAFA3
Macc1	MACC1
Gpr18	GPR18
Emilin3	EMILIN3
Tmem150c	TMEM150C
Ccnb1ip1	CCNB1IP1
Arl13b	ARL13B
Adamts9	ADAMTS9
Kmt2e	KMT2E
Glt6d1	GLT6D1
Trim69	TRIM69
Raver2	RAVER2
Rnase9	RNASE9
Prss38	PRSS38
1700029I15Rik	C11orf94
Spink8	SPINK8
Elfn2	ELFN2
Foxi2	FOXI2
Slfn5	SLFN5
Smco1	SMCO1
Rtl5	RTL5
Frmd7	FRMD7
1190005I06Rik	C16orf74
1700001O22Rik	C9orf50
Grhl3	GRHL3
Qrfpr	QRFPR
Nhs	NHS
Mpzl3	MPZL3
Tmem173	STING1
Cmip	CMIP
Lonrf2	LONRF2
4930452B06Rik	C3orf67
Mms22l	MMS22L
Cxcl17	CXCL17
Nkpd1	NKPD1
Clec4g	CLEC4G
1810046K07Rik	C11orf53
Paqr9	PAQR9
B3gnt8	B3GNT8
Fam89a	FAM89A
4833420G17Rik	C5orf34
Klhl30	KLHL30
Zpbp2	ZPBP2
Mrgprd	MRGPRD
Plekhg1	PLEKHG1
Ube2cbp	UBE3D
Rasal3	RASAL3
Ice1	ICE1
Ccdc88c	CCDC88C
Efcab12	EFCAB12
Galnt16	GALNT16
Adamtsl3	ADAMTSL3
Pcdh19	PCDH19
Fhdc1	FHDC1
Secisbp2l	SECISBP2L
Nckap5l	NCKAP5L
Camsap2	CAMSAP2
Myh15	MYH15
Tbc1d30	TBC1D30
Pkdcc	PKDCC
Ranbp6	RANBP6
Zfp469	ZNF469
Arhgap20	ARHGAP20
Prune2	PRUNE2
Mier2	MIER2
Camta1	CAMTA1
Kdm6b	KDM6B
Tanc1	TANC1
Dapl1	DAPL1
Bex4	BEX4
Dusp27	DUSP27
Mex3a	MEX3A
Slain2	SLAIN2
Limch1	LIMCH1
Sipa1l2	SIPA1L2
Prr12	PRR12
Zswim5	ZSWIM5
Camsap3	CAMSAP3
Rusc2	RUSC2
Rimklb	RIMKLB
Haus5	HAUS5
Kif26a	KIF26A
Zfp618	ZNF618
Atg16l2	ATG16L2
Lrrk2	LRRK2
Zfp787	ZNF787
1700013F07Rik	C1orf194
4930505A04Rik	C2orf73
Ccdc173	CCDC173
Cib4	CIB4
Ttc32	TTC32
Zfp648	ZNF648
D7Ertd443e	C10orf90
Dbx1	DBX1
Ceacam20	CEACAM20
C2cd4c	C2CD4C
Zfp831	ZNF831
Otol1	OTOL1
Shisal2b	SHISAL2B
Oc90	OC90
Colca2	COLCA2
Gm527	C14orf28
Pm20d2	PM20D2
Slc38a8	SLC38A8
Atp8b3	ATP8B3
Syde2	SYDE2
Rc3h1	RC3H1
Gpat2	GPAT2
0610010F05Rik	KIAA1841
1700034E13Rik	LOC100505841
9930021J03Rik	KIAA2026
Fam170b	FAM170B
Pwwp2b	PWWP2B
2300009A05Rik	C15orf61
Bcl2l15	BCL2L15
Ism1	ISM1
Ydjc	YDJC
Garem2	GAREM2
Sh3d19	SH3D19
Irx1	IRX1
Chd7	CHD7
Ankib1	ANKIB1
Lrrc3c	LRRC3C
Krt39	KRT39
Nlrp1b	NLRP1
Slfn14	SLFN14
Dhrs7c	DHRS7C
1700016C15Rik	C1orf100
Zfp518b	ZNF518B
Slc35d3	SLC35D3
Shc2	SHC2
Spryd4	SPRYD4
Fam161a	FAM161A
Cfap97d1	CFAP97D1
1700001P01Rik	C17orf98
Fam171a2	FAM171A2
Rd3l	RD3L
Psmg4	PSMG4
Wnk2	WNK2
Sh2d4b	SH2D4B
Rnase10	RNASE10
Samd4	SAMD4A
Larp4	LARP4
Ptx4	PTX4
Eme2	EME2
Lrfn2	LRFN2
Lrrc73	LRRC73
Gm94	C5orf46
Spindoc	SPINDOC
Camsap1	CAMSAP1
2010300C02Rik	KIAA1211L
Snorc	SNORC
Fam209	FAM209B
Mybphl	MYBPHL
Arhgef39	ARHGEF39
Mfsd2a	MFSD2A
Cd164l2	CD164L2
Crybg2	CRYBG2
Draxin	DRAXIN
Rnf207	RNF207
Adgra3	ADGRA3
Lamtor4	LAMTOR4
0610030E20Rik	C2orf68
Clec12b	CLEC12B
Resf1	RESF1
Fezf1	FEZF1
Ccdc61	CCDC61
Nccrp1	NCCRP1
Fam71e1	FAM71E1
1700008O03Rik	C19orf81
Tmem219	TMEM219
Lrrc27	LRRC27
Erich1	ERICH1
Mboat4	MBOAT4
4933405L10Rik	C16orf86
Prss54	PRSS54
9530077C05Rik	KIAA0895
1700017B05Rik	C15orf39
Kbtbd13	KBTBD13
Hhatl	HHATL
Map3k19	MAP3K19
Elmsan1	ELMSAN1
Lrrc74a	LRRC74A
C1ql4	C1QL4
Ccdc154	CCDC154
Tdrd6	TDRD6
Tmem151b	TMEM151B
Bicral	BICRAL
Jcad	JCAD
Asxl3	ASXL3
Zfp518a	ZNF518A
Gpr158	GPR158
Zbtb34	ZBTB34
Lrrc55	LRRC55
Xirp2	XIRP2
Xkr7	XKR7
Zc3h12b	ZC3H12B
Rtl3	RTL3
Nxf3	NXF3
Iqsec2	IQSEC2
Tceanc	TCEANC
Lrit3	LRIT3
Vwa5b1	VWA5B1
Myom3	MYOM3
Rsbn1l	RSBN1L
Rnf216	RNF216
Atxn1l	ATXN1L
Igsf9b	IGSF9B
Ubap1l	UBAP1L
Fam83b	FAM83B
Tnfaip8l3	TNFAIP8L3
Inca1	INCA1
Spata13	SPATA13
Nynrin	NYNRIN
Ccdc191	CCDC191
Cpn2	CPN2
BC034090	KIAA1614
Trnp1	TRNP1
Rtp2	RTP2
Usf3	USF3
Slc9c1	SLC9C1
Ankrd16	ANKRD16
Bend3	BEND3
Ppp1r18	PPP1R18
Fam171a1	FAM171A1
C2cd3	C2CD3
Susd5	SUSD5
Epgn	EPGN
Myadml2	MYADML2
Zbtb38	ZBTB38
Hoxc6	HOXC6
9930012K11Rik	C8orf58
Dennd2c	DENND2C
Fbxo10	FBXO10
Anks6	ANKS6
Nat8l	NAT8L
Xrra1	XRRA1
Calhm4	CALHM4
Meioc	MEIOC
Arhgef40	ARHGEF40
Ankdd1b	ANKDD1B
Shc4	SHC4
Mcrip1	MCRIP1
Plekhm2	PLEKHM2
Lrrc10b	LRRC10B
Stkld1	STKLD1
Nexmif	NEXMIF
Rilp	RILP
Fuom	FUOM
Tmed8	TMED8
Tmem150b	TMEM150B
Ankrd45	ANKRD45
Cenpl	CENPL
Zfp710	ZNF710
Mroh7	MROH7
Heatr5a	HEATR5A
Ccdc33	CCDC33
Lcmt2	LCMT2
Zfp865	ZNF865
Tead2	TEAD2
Tomt	LRTOMT
Zkscan2	ZKSCAN2
Dnah3	DNAH3
Hpse2	HPSE2
Pwwp2a	PWWP2A
Parp14	PARP14
Dstyk	DSTYK
D5Ertd579e	KIAA0232
Olfr750	OR6S1
Pabpn1l	PABPN1L
Paqr6	PAQR6
Nhsl2	NHSL2
Pjvk	PJVK
Ankrd63	ANKRD63
D630045J12Rik	KIAA1549
Zfp746	ZNF746
Pcare	PCARE
Adamtsl5	ADAMTSL5
Ascl4	ASCL4
Fdxacb1	FDXACB1
Ankrd34c	ANKRD34C
Adgrv1	ADGRV1
Inka1	INKA1
Glyatl3	GLYATL3
Topaz1	TOPAZ1
Fbxo41	FBXO41
Foxr1	FOXR1
Myorg	MYORG
Ceacam16	CEACAM16
Olfr322	OR2W3
Sp6	SP6
Tmem240	TMEM240
Tvp23a	TVP23A
Gatc	GATC
2310009B15Rik	C1orf53
Ermard	ERMARD
Ttc9b	TTC9B
Trpm1	TRPM1
Ajm1	AJM1
Efcab7	EFCAB7
Ripply2	RIPPLY2
Rprd2	RPRD2
Sh2d5	SH2D5
Zbtb42	ZBTB42
Eppk1	EPPK1
Iqcf5	IQCF5
Pfn4	PFN4
Xkr9	XKR9
Acads	ACADS
Acvrl1	ACVRL1
Aldob	ALDOB
Atp7b	ATP7B
Avpr2	AVPR2
Bche	BCHE
Col4a4	COL4A4
F13a1	F13A1
Fuca1	FUCA1
G6pc	G6PC
Gipr	GIPR
Glra1	GLRA1
Gnat1	GNAT1
Cfh	CFH
Hsd11b2	HSD11B2
Hsd17b3	HSD17B3
Insr	INSR
Itga6	ITGA6
Itgb2	ITGB2
Mmut	MMUT
Myl3	MYL3
Myo5a	MYO5A
Pfkm	PFKM
Pkd2	PKD2
Rpe65	RPE65
Serpina7	SERPINA7
Col5a2	COL5A2
Egr2	EGR2
L1cam	L1CAM
Slc26a4	SLC26A4
Ak1	AK1
Aqp2	AQP2
Arsa	ARSA
Serpinc1	SERPINC1
Epx	EPX
Hexa	HEXA
Hoxd13	HOXD13
Htr1a	HTR1A
Ren1	REN
Cd53	CD53
Gpx1	GPX1
Spp1	SPP1
Serpina5	SERPINA5
Adh4	ADH4
Adora1	ADORA1
Adora2a	ADORA2A
Adora2b	ADORA2B
Adra2c	ADRA2C
Adrb1	ADRB1
Agtr2	AGTR2
Aldh3a1	ALDH3A1
Amy1	AMY2A
Atp4b	ATP4B
Car4	CA4
Cacna1b	CACNA1B
Cacna1e	CACNA1E
Cacnb1	CACNB1
Cacnb3	CACNB3
Cacnb4	CACNB4
Chrm1	CHRM1
Chrm2	CHRM2
Chrm3	CHRM3
Chrm4	CHRM4
Chrna2	CHRNA2
Chrnb4	CHRNB4
Drd4	DRD4
Drd5	DRD5
Gabra2	GABRA2
Gabra3	GABRA3
Gabra5	GABRA5
Gabra6	GABRA6
Gabrb1	GABRB1
Gad2	GAD2
Glrb	GLRB
Gria2	GRIA2
Gria1	GRIA1
Gria4	GRIA4
Grm2	GRM2
Grm4	GRM4
Grm6	GRM6
Grm7	GRM7
Htr1d	HTR1D
Htr2c	HTR2C
Htr4	HTR4
Htr7	HTR7
Itgb7	ITGB7
Kcnj5	KCNJ5
Kcnj2	KCNJ2
Maob	MAOB
Oprd1	OPRD1
Oprk1	OPRK1
Oxtr	OXTR
Pde4c	PDE4C
Ptafr	PTAFR
Ptger4	PTGER4
Rara	RARA
Rarg	RARG
Rrm2	RRM2
Scnn1g	SCNN1G
Slc12a2	SLC12A2
Sstr3	SSTR3
Sstr4	SSTR4
Sstr5	SSTR5
Tacr1	TACR1
Anxa5	ANXA5
Arhgdib	ARHGDIB
Arl1	ARL1
Bcat1	BCAT1
Bmpr1b	BMPR1B
Car6	CA6
Car9	CA9
Car12	CA12
Casq1	CASQ1
Casq2	CASQ2
Serpinh1	SERPINH1
Cbr3	CBR3
Entpd2	ENTPD2
Cdh13	CDH13
Ap1s1	AP1S1
Clic1	CLIC1
Ccr1	CCR1
Crmp1	CRMP1
Cx3cr1	CX3CR1
Dgkq	DGKQ
Dapk3	DAPK3
Dnah9	DNAH9
Dpys	DPYS
Dpysl3	DPYSL3
Dtna	DTNA
Eef1g	EEF1G
Eif1a	EIF1AX
Elavl1	ELAVL1
Fhl2	FHL2
Foxc1	FOXC1
Fzd2	FZD2
B4galt1	B4GALT1
Gle1	GLE1
Gpr39	GPR39
Ndst1	NDST1
Ing2	ING2
Acvr2a	ACVR2A
Aplp2	APLP2
Aqp5	AQP5
Aqp6	AQP6
Arhgap4	ARHGAP4
Bmp7	BMP7
Bmx	BMX
Hc	C5
C5ar1	C5AR1
Car1	CA1
Serpina6	SERPINA6
Ccnd3	CCND3
Cd9	CD9
Cd37	CD37
Entpd1	ENTPD1
Cdh2	CDH2
Cdh3	CDH3
Cenpe	CENPE
Ckm	CKM
Clcn3	CLCN3
Ccr3	CCR3
Col4a1	COL4A1
Col9a3	COL9A3
Csnk2a2	CSNK2A2
Cspg4	CSPG4
Ctps	CTPS1
Cfd	CFD
Cela1	CELA1
Elane	ELANE
Erbb3	ERBB3
Ezh1	EZH1
Fgfr4	FGFR4
Fpr1	FPR1
Gabrr1	GABRR1
Gabrr2	GABRR2
Gna11	GNA11
Gpc1	GPC1
Gpx2	GPX2
Gpx3	GPX3
Grsf1	GRSF1
Gzmk	GZMK
Hck	HCK
Hdc	HDC
Rbmx	RBMX
Hpn	HPN
Hspe1	HSPE1
Itga5	ITGA5
Itgav	ITGAV
Itgb5	ITGB5
Cd82	CD82
Kcna4	KCNA4
Kcng1	KCNG1
Kcnn3	KCNN3
Kcns1	KCNS1
Kcns3	KCNS3
Kpna3	KPNA3
Kpna4	KPNA4
Krt4	KRT4
Lrch4	LRCH4
Lsamp	LSAMP
Matn2	MATN2
Mcc	MCC
Mmp1a	MMP1
Mmp3	MMP3
Mmp10	MMP10
Mmp12	MMP12
Mmp13	MMP13
Mmp15	MMP15
Myh3	MYH3
Myl4	MYL4
Ndn	NDN
Nmbr	NMBR
Nme3	NME3
P2ry4	P2RY4
Pcsk6	PCSK6
Serpinb2	SERPINB2
Pbx1	PBX1
Pfkp	PFKP
Serpinb5	SERPINB5
Pik3c2a	PIK3C2A
Pik3c2b	PIK3C2B
Pitx1	PITX1
Pmp2	PMP2
Ppp2r3a	PPP2R3A
Prkcg	PRKCG
Prss8	PRSS8
Psmb10	PSMB10
Ptpra	PTPRA
Ptprf	PTPRF
Ptprs	PTPRS
Rab2a	RAB2A
Rab3a	RAB3A
Ralb	RALB
Rcn1	RCN1
Sh3gl2	SH3GL2
Siah1a	SIAH1
Slc1a4	SLC1A4
Slc7a1	SLC7A1
Slc7a2	SLC7A2
Slc9a1	SLC9A1
Slc9a2	SLC9A2
Slc16a1	SLC16A1
Slc34a1	SLC34A1
Slc18a1	SLC18A1
Slc22a1	SLC22A1
Smarcd1	SMARCD1
Smarcd2	SMARCD2
Snrnp70	SNRNP70
Stat4	STAT4
Stat5a	STAT5A
Stim1	STIM1
Tcea3	TCEA3
Nfe2l1	NFE2L1
Tfap2b	TFAP2B
Tgm4	TGM4
Tgm3	TGM3
Thbs4	THBS4
Tia1	TIA1
Tle2	TLE2
Tlr1	TLR1
Tlr2	TLR2
Tlr3	TLR3
Tlr5	TLR5
Tspan6	TSPAN6
Tmod1	TMOD1
Tnnt1	TNNT1
Trhr	TRHR
Trpc3	TRPC3
Trpm2	TRPM2
Tulp3	TULP3
Tyk2	TYK2
Ube2d1	UBE2D1
Ugt8a	UGT8
Usp4	USP4
Clip2	CLIP2
Wnt2	WNT2
Wnt5a	WNT5A
Wnt10b	WNT10B
Wnt9a	WNT9A
Ywhab	YWHAB
Zfp7	ZNF7
Zfp189	ZNF189
Cxcr4	CXCR4
Csrp3	CSRP3
Ptp4a2	PTP4A2
Dysf	DYSF
Fzd1	FZD1
Fzd7	FZD7
Tagln2	TAGLN2
Bfsp2	BFSP2
Stk24	STK24
Nck2	NCK2
Doc2b	DOC2B
Galr3	GALR3
Ppfia1	PPFIA1
Ndst2	NDST2
Lgr5	LGR5
Hsd17b6	HSD17B6
Srsf9	SRSF9
Adam9	ADAM9
Nr5a2	NR5A2
Pex11a	PEX11A
Trim24	TRIM24
Hesx1	HESX1
Inpp4b	INPP4B
Kat2b	KAT2B
Cpne3	CPNE3
Rab29	RAB29
Baiap3	BAIAP3
Trio	TRIO
Taar5	TAAR5
Map7	MAP7
Dmd	DMD
Anxa2	ANXA2
Bdh1	BDH1
Car8	CA8
Plk3	PLK3
Ctss	CTSS
Coch	COCH
Dlg1	DLG1
Dusp3	DUSP3
Foxs1	FOXS1
Gng10	GNG10
Rab27b	RAB27B
Slc1a1	SLC1A1
Slc1a3	SLC1A3
Slc7a4	SLC7A4
Sema3f	SEMA3F
Chrna6	CHRNA6
Syt7	SYT7
Slc28a2	SLC28A2
Trip11	TRIP11
Tgm5	TGM5
Rab9	RAB9A
Slc22a8	SLC22A8
Rab3d	RAB3D
Mtrf1	MTRF1
Acvr1b	ACVR1B
Anxa13	ANXA13
Arhgap1	ARHGAP1
Asph	ASPH
Bmpr1a	BMPR1A
Cd81	CD81
Cd151	CD151
Cdh1	CDH1
Crhr1	CRHR1
Ddx10	DDX10
Dvl1	DVL1
Dvl2	DVL2
Dvl3	DVL3
Epha2	EPHA2
Elavl2	ELAVL2
Eml1	EML1
Epha4	EPHA4
Epha7	EPHA7
Ephb1	EPHB1
Ephb3	EPHB3
Ephb4	EPHB4
Ephb6	EPHB6
Gpc3	GPC3
Kcnq3	KCNQ3
Lrp2	LRP2
Serpinb6a	SERPINB6
Plcb2	PLCB2
Pou4f2	POU4F2
Tra2b	TRA2B
Srebf2	SREBF2
Tspan7	TSPAN7
Tspan8	TSPAN8
Wnt7a	WNT7A
Wnt11	WNT11
Sema3b	SEMA3B
Mllt10	MLLT10
Nphs1	NPHS1
Lin7a	LIN7A
Pias2	PIAS2
Krt75	KRT75
Slc16a6	SLC16A6
Slc16a5	SLC16A5
Syngr2	SYNGR2
Slc16a7	SLC16A7
Gcnt3	GCNT3
Dhrs3	DHRS3
Asic3	ASIC3
Mmp20	MMP20
Med1	MED1
Tm9sf2	TM9SF2
Nrxn1	NRXN1
Grap2	GRAP2
Ntn1	NTN1
Themis2	THEMIS2
Rock2	ROCK2
Chst10	CHST10
Fxr2	FXR2
Pdia4	PDIA4
Vps9d1	VPS9D1
Abcg1	ABCG1
Aqp3	AQP3
Calb1	CALB1
Cdh6	CDH6
Dock3	DOCK3
Hnrnpf	HNRNPF
Jak2	JAK2
Kcna2	KCNA2
Kcnd1	KCND1
Kcnd3	KCND3
Mmp14	MMP14
Nrcam	NRCAM
Pde1a	PDE1A
Serpini1	SERPINI1
Ppara	PPARA
Rorc	RORC
Siah2	SIAH2
Slc1a6	SLC1A6
Slc12a4	SLC12A4
Tle1	TLE1
Tle3	TLE3
Zrsr2	ZRSR2
Fez1	FEZ1
Brdt	BRDT
Med13	MED13
Dop1b	DOP1B
Slc12a6	SLC12A6
Grk3	GRK3
Aldoc	ALDOC
Rnd3	RND3
Ccr8	CCR8
Dcc	DCC
Epha3	EPHA3
Erbb4	ERBB4
Etv3	ETV3
Mecom	MECOM
F2rl1	F2RL1
Foxc2	FOXC2
Gnat2	GNAT2
Gpr1	GPR1
Xcr1	XCR1
Npbwr1	NPBWR1
Mchr1	MCHR1
Grpr	GRPR
Gzmm	GZMM
Myo1a	MYO1A
Src	SRC
Rnd2	RND2
Naaladl1	NAALADL1
Slc17a4	SLC17A4
Itga3	ITGA3
Abca1	ABCA1
Scarb1	SCARB1
Ccr4	CCR4
Dmxl1	DMXL1
Mnx1	MNX1
Inhbc	INHBC
Krt16	KRT16
Lama1	LAMA1
Lnpep	LNPEP
Bcam	BCAM
Mdfi	MDFI
Atp8b1	ATP8B1
Rbbp4	RBBP4
Slc1a5	SLC1A5
Nr2f1	NR2F1
Taf1c	TAF1C
Abcc5	ABCC5
Nr1h3	NR1H3
Edil3	EDIL3
Gipc1	GIPC1
Tspan3	TSPAN3
Tspan2	TSPAN2
Tspan1	TSPAN1
Actr1a	ACTR1A
Trim28	TRIM28
Rbm5	RBM5
Calcrl	CALCRL
Prdx2	PRDX2
Gdf11	GDF11
Stag1	STAG1
Cwc27	CWC27
Dnaja2	DNAJA2
Idh1	IDH1
Smad1	SMAD1
Smad2	SMAD2
Smad9	SMAD9
Afdn	AFDN
Mtnr1a	MTNR1A
Zbtb16	ZBTB16
Zfand5	ZFAND5
Arid1a	ARID1A
Lipg	LIPG
Hs3st2	HS3ST2
Apbb3	APBB3
Lamc3	LAMC3
Tlr6	TLR6
Coro2b	CORO2B
Myl9	MYL9
Rapgef3	RAPGEF3
Tmem50b	TMEM50B
Gzma	GZMA
Lgals4	LGALS4
Lpo	LPO
Npy5r	NPY5R
Pbx3	PBX3
Pcsk5	PCSK5
Serpine2	SERPINE2
Serpini2	SERPINI2
Pik3ca	PIK3CA
Pik3cb	PIK3CB
Plcd1	PLCD1
Pnliprp1	PNLIPRP1
Pou4f1	POU4F1
Prkcq	PRKCQ
Dpf2	DPF2
Tln1	TLN1
Zkscan8	ZKSCAN8
Lrrn2	LRRN2
Zbtb18	ZBTB18
Crtap	CRTAP
Sema4d	SEMA4D
Pdlim5	PDLIM5
Trim3	TRIM3
Fbln1	FBLN1
Nova1	NOVA1
Scn10a	SCN10A
Dynlt3	DYNLT3
Slc12a7	SLC12A7
Chl1	CHL1
Plk2	PLK2
Arpp19	ARPP19
Slc17a3	SLC17A3
Mthfd2	MTHFD2
Hsph1	HSPH1
Cplx1	CPLX1
Slc1a7	SLC1A7
Slc22a7	SLC22A7
Actl7b	ACTL7B
Mmp24	MMP24
Pnpla6	PNPLA6
Gadd45g	GADD45G
Ifrd2	IFRD2
Rab38	RAB38
Kif2c	KIF2C
Glipr1	GLIPR1
Tmed1	TMED1
Rab35	RAB35
Dstn	DSTN
Zfhx3	ZFHX3
Myo9a	MYO9A
Rxrg	RXRG
Scn1a	SCN1A
Sox5	SOX5
Adamts1	ADAMTS1
Upk1a	UPK1A
Wwp1	WWP1
Tppp	TPPP
Capn11	CAPN11
Nr1h2	NR1H2
Utrn	UTRN
Zxdb	ZXDB
Cit	CIT
Abcf2	ABCF2
Anxa10	ANXA10
Klk8	KLK8
Fzd10	FZD10
Praf2	PRAF2
Car5b	CA5B
Pacsin2	PACSIN2
Klhl2	KLHL2
Klf12	KLF12
Slco2b1	SLCO2B1
Ctrc	CTRC
Stat1	STAT1
Prmt1	PRMT1
Pgk1	PGK1
Ptpro	PTPRO
Ranbp1	RANBP1
Sptlc2	SPTLC2
Tm9sf4	TM9SF4
Fhit	FHIT
Ak3	AK3
Nalcn	NALCN
Gykl1	GK
Tmlhe	TMLHE
Slc25a16	SLC25A16
Atp9b	ATP9B
Slc13a5	SLC13A5
Ap1b1	AP1B1
Uba1	UBA1
Vps13a	VPS13A
Med14	MED14
Mospd2	MOSPD2
Pak7	PAK5
Zcchc7	ZCCHC7
Eif1b	EIF1B
Decr2	DECR2
Polr1d	POLR1D
Paqr4	PAQR4
Tagln3	TAGLN3
Rrp12	RRP12
Ap4e1	AP4E1
Gna12	GNA12
Adcy6	ADCY6
Angpt2	ANGPT2
Rhod	RHOD
Hnrnpd	HNRNPD
Bcap29	BCAP29
Bmp5	BMP5
Cdk11b	CDK11A
Ackr3	ACKR3
Col13a1	COL13A1
Col8a1	COL8A1
Cux2	CUX2
Dcn	DCN
Dhh	DHH
Epha8	EPHA8
Gabrg2	GABRG2
Gabrg3	GABRG3
Hcn3	HCN3
Hes2	HES2
Mfsd14a	MFSD14A
Htr5a	HTR5A
Ifit1	IFIT1B
Kcns2	KCNS2
Klc2	KLC2
Kpna6	KPNA6
Krt84	KRT84
Lfng	LFNG
Ltb4r1	LTB4R
Mmp8	MMP8
Pax3	PAX3
Pcsk4	PCSK4
Ptp4a3	PTP4A3
Slk	SLK
Syt2	SYT2
Tnfaip1	TNFAIP1
Traf2	TRAF2
Tspyl1	TSPYL1
Ucp1	UCP1
Wnt10a	WNT10A
Wnt2b	WNT2B
Wnt3	WNT3
Wnt3a	WNT3A
Wnt4	WNT4
Wnt5b	WNT5B
Wnt7b	WNT7B
Atrn	ATRN
Cacna1g	CACNA1G
Ccr9	CCR9
Col11a2	COL11A2
Cpt1b	CPT1B
Dlx1	DLX1
Dmwd	DMWD
Dpp6	DPP6
Drd2	DRD2
Fgfr2	FGFR2
Fkbp7	FKBP7
Gabrg1	GABRG1
Gnaz	GNAZ
Gng3	GNG3
Ihh	IHH
Kif13a	KIF13A
Nkx2-6	NKX2-6
Olfr56	OR2V1
Oprl1	OPRL1
Hspa4l	HSPA4L
Pdcd6ip	PDCD6IP
Ptcra	PTCRA
Rab19	RAB19
Itsn2	ITSN2
Cyfip1	CYFIP1
Slc22a3	SLC22A3
Sox6	SOX6
Lin7b	LIN7B
Lin7c	LIN7C
Vill	VILL
Baz1b	BAZ1B
Ikzf2	IKZF2
Fiz1	FIZ1
Fyb	FYB1
Mmp17	MMP17
Tenm2	TENM2
Tenm3	TENM3
Pacsin1	PACSIN1
Avpr1b	AVPR1B
Plod2	PLOD2
Sema4g	SEMA4G
Slc7a11	SLC7A11
Cops7a	COPS7A
Ern2	ERN2
Trpc7	TRPC7
Atp1b4	ATP1B4
Ap3m1	AP3M1
Angptl2	ANGPTL2
Bace2	BACE2
Chrm5	CHRM5
Gca	GCA
Rhoq	RHOQ
Hey2	HEY2
Itgb1bp2	ITGB1BP2
Morf4l2	MORF4L2
Adgrl2	ADGRL2
Tspan15	TSPAN15
Serpinb13	SERPINB13
Fscn2	FSCN2
Ssbp2	SSBP2
Ywhag	YWHAG
Gls	GLS
Mylpf	MYLPF
Scn5a	SCN5A
Stk39	STK39
